id_observacion,id_estudiante,fecha,autor,observacion
1,1,2025-08-10,Prof. Martínez,Excelente redacción en ensayos
2,1,2025-10-15,Coordinación Académica,Participación destacada en debates
13,1,2025-09-05,Prof. Rodríguez,Líder natural en trabajos grupales
14,1,2025-11-20,Coordinación de Disciplina,Respetuoso con el material del aula y mobiliario
33,1,2026-01-15,Prof. García,Representante estudiantil
43,1,2026-02-10,Coordinación Disciplina,Modelo de comportamiento en formación y actos cívicos
12,1,2025-12-01,Prof. Castillo,Disfruta crear presentaciones visuales para sus exposiciones
15,1,2026-01-08,Tutor,Gestiona el tiempo de estudio con apoyo de apps digitales
16,1,2026-02-05,Prof. López,Solicita retroalimentación extra para mejorar sus textos
17,1,2026-02-20,Orientación,Participó voluntariamente en campaña de lectura a niños de primaria
3,2,2025-09-02,Tutor,Dificultades en Matemática
7,2,2025-11-15,Tutor Académico,Mejoró asistencia
15,2,2025-12-01,Orientador,Falta de organización en su espacio de trabajo (mochila desordenada)
34,2,2026-01-20,Tutor,Mejoró notablemente en participación tras trabajo con psicólogo
44,2,2026-02-15,Prof. García,Inició tutorías entre pares
12,2,2025-11-10,Prof. Torres,Prefiere aprender con videos cortos antes que libros
13,2,2026-01-12,Prof. Martínez,Disfruta armar rompecabezas de madera en los recreos
14,2,2026-01-30,Tutor,Recuerda fechas y datos históricos sin esfuerzo
15,2,2026-02-08,Orientación,Propuso crear un mural gráfico para repasar contenidos
16,2,2026-02-18,Prof. López,Siente ansiedad cuando el pizarrón está lleno de fórmulas
17,2,2026-02-25,Psicólogo,Demuestra empatía al escuchar a sus compañeros
4,3,2025-08-12,Orientación,Ausencias recurrentes
17,3,2025-09-18,Prof. García,Constante distracción con el celular durante clases
18,3,2025-11-05,Psicólogo escolar,Aislamiento social durante recreos
35,3,2026-01-10,Orientación,Inició terapia externa
45,3,2026-02-05,Psicólogo escolar,Incorporado a grupo de teatro escolar para socialización
12,3,2025-12-05,Prof. Castillo,Disfruta improvisar monólogos cómicos en clase
13,3,2026-01-15,Prof. Martínez,Escribe cuentos cortos en su cuaderno personal
14,3,2026-01-25,Tutor,Prefiere trabajar de pie antes que sentada
15,3,2026-02-10,Orientación,Baila cuando hay música de fondo mientras realiza tareas
